word,count
更多,5
书籍,4
解读,3
周围,1
熟人,2
谈论,1
变得,4
举止,2
行踪,1
可疑,1
至于,2
警察,7
盯上,1
，断,1
蛛丝马迹,1
生活,3
黑暗同化，,1
黑暗,1
吞噬,2
谁知道,2
，被同化,1
是不是,2
恶龙,2
成为,5
作为,9
 996 打工仔,1
悲剧,2
发现,15
宿命,1
应神,1
启示,2
建立,1
密教，召集信徒，,1
对抗,1
敌人,1
一次次,2
漫宿,4
惊鸿,1
一瞥,1
超脱,1
飞升，,2
超越,1
后进者,1
指引,17
评测,7
犹在影,1
神中神，,1
手机,3
几十个小时,3
元素,7
顶尖,1
文案,13
绝。,1
探寻,3
未知,5
才是,5
h1]密教模拟器,1
充满,7
欲望,10
冒险,1
h1,13
精简,1
ui,1
庞大,10
，本地化,1
中文,7
原版,1
怪诞,1
展现,2
淋漓尽致,1
骨子里,1
社会,1
少量,1
重复性,7
缺少,4
过多,2
对于,16
密教，邪典,1
爱好者,7
来说,12
不可多得,1
得益于,2
作者,8
文笔,2
确实,12
一次又一次,1
乐趣，,1
就像,4
采访,1
所说,1
一秒钟,1
cg，,1
不需要,2
每时每刻,2
不同,14
我们,16
讲述,3
隐藏,5
制作者,2
尽可能,1
减少,2
必然,1
不可,5
抗力,1
搜索,4
同时,12
评分：,1
10,5
杀手,1
注意,3
音乐,8
满分,4
，OST,1
入，,1
晚上,4
写作,1
入迷,9
顺便,3
仿照,3
尼采,1
哲学,1
2[,1
游戏性,8
神作,4
算作,1
精品,2
倒无所谓,1
玩游戏,2
摸索,17
大部分,8
友好,7
现象,2
新人,3
角度,2
来讲,2
难度,8
，漫,1
目的,5
很容易,7
躁动+3[/spoiler,1
虽说,4
类ROGUE类游戏，,1
实际上,2
理解,9
带有,3
影响,12
线性,2
不少,3
角色,7
其实,9
一样,8
熟练,3
大大,1
下降,1
ROGUELIKE,1
置入,1
激情,8
战争,1
30,1
小時,4
還是,5
社畜模拟器，,1
勤勤恳恳,1
打工,19
不如,6
描述,4
模糊,1
某种,4
意义,5
头脑,1
那些,9
日子,1
设置,4
自动,6
想到,3
一周目,4
居然,4
关，,2
多少,7
离谱,1
。 ,4
大于,2
性，,2
而且,12
比起,3
本体,6
未免,1
桌游,21
题材,13
10分,1
从一开始,2
死亡,5
使徒,5
、舞女介壳种,1
月亮居屋通关，,1
太多,6
完成,4
相当,8
可能,14
怎么,30
莫名,2
格子,1
道具,1
问题,16
有意思,9
长篇,1
含义,3
神韵,1
就是为你,1
量身,1
定做,1
额，,1
当然,9
不惧,1
挫折,1
艰险,1
心态,6
。（,5
不死,1
四五次,1
？）,2
每天,3
累死累活,1
挣钱,2
养活,4
想起来,1
原来,3
996,2
果然,2
厉害,2
邪教,13
感恩,1
有创意,1
相比,2
传统,4
文本类,2
 游戏 sunless sea,1
这种,17
目前,6
反而,3
舒适,2
也许,7
年纪,1
anyway,1
80,1
90%%,2
好评,6
实。,1
总体来讲,1
有很多,3
缺陷,3
机制,21
属于,5
初期,1
眼前一亮,1
平庸,1
那种,6
 idea型,1
受众,2
大概,11
之类,6
多久,2
个人,7
 先不买DLC，,1
略感,1
乏味,4
不能,29
拯救,1
然而,2
一次性,1
无法,7
后悔,1
总体,4
性质,2
 看文本 小游戏，,1
idea,1
正体,1
方面,7
交互,1
特效声,1
还行,1
避免,2
体量,5
很不错,4
有点像,1
类型,2
自嗨,1
功夫,2
痕迹,1
在内,1
游戏机制 ,1
颇具,2
类似,2
每个,6
特质,1
label,2
一起,3
作业,4
互动,8
结合,4
 密教,1
头头,1
氛围,12
一旦,1
组合，,1
变成,8
资源,3
累积,1
机械,1
并没有,2
支持,3
自动化,1
比如,7
框，,1
重新,7
同样,3
素材,3
 作业 之类），,1
优化,3
程度,3
提高,1
实施,1
制作,8
第一次,7
开发,3
受到,1
后果,1
感受到,1
被迫,1
电脑,2
不时,1
手动,2
 。,1
致命,2
不好,2
参考,2
放置,4
等等,4
总体来说,2
较多,1
还算,1
心，,2
略显,1
考虑,7
周，,1
实际,2
 克苏鲁 ,1
状态,2
价格,2
对不起,1
存档,26
覆盖,3
save，,1
关掉,1
网络,2
依然,2
steam,6
auto cloud,1
上网,1
云个,1
云！,1
有时,2
成功,14
官方,4
禁止,1
sl,1
，临,1
一脚,1
tm,4
升值,1
加薪,1
打出,4
gg，,1
回头,1
回档,1
不认,1
新档,1
年轻人,1
第一款,1
社畜模拟器,2
/h1,2
一位,3
资深,1
本作,5
经营类,2
卡牌游戏,1
hr,4
叙事,15
无疑,4
语言,4
符号,1
纽带,1
构建,8
无形之术,1
窥探,1
一隅,1
解密,4
