steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,top10_games,top3_game_tags,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561199044937966,165,9,294,294,274,2023-04-25 19:38:02,无游戏,无游戏,137267710,schinese,游戏太好玩了，很适合锻炼脑子和思维，有很多关卡解法十分奔放，最好玩的时候思想天马行空一点会更容易过关;35入血赚.50入不亏!,2023-04-25 18:11:10,2023-04-25 18:11:10,True,0,0,0,0,True,False,False,True,,63,False,,
76561198843419167,11,1,3725,0,3527,2023-04-19 01:23:09,无游戏,无游戏,136903941,schinese,烧脑,2023-04-18 20:59:48,2023-04-18 20:59:48,True,0,0,0,0,True,False,False,True,,2,False,,
76561199025924280,1562,94,261,0,261,2023-03-31 20:09:55,无游戏,无游戏,136897002,schinese,评分：4/5;评测：非常有特色的一款推箱子游戏，通过推动文字来改变物品属性值（例如：baba is you，将wall推到旁边替换掉baba，然后玩家就会变成墙），通过各种文字的组合创造各种可能，创意非常好，而且关卡非常丰富，谜题也很有难度，喜欢益智游戏的玩家们千万不能错过,2023-04-18 17:08:15,2023-04-18 17:08:15,True,0,0,0,0,False,False,False,True,,137,False,,
76561199422550213,1,1,420,23,353,2023-05-03 11:59:14,无游戏,无游戏,136896959,schinese,好玩，但很难！;,2023-04-18 17:06:28,2023-04-18 17:06:28,True,0,0,0,0,True,False,False,True,,8,False,,
76561198181709637,212,10,569,0,569,2023-04-18 15:59:48,无游戏,无游戏,136895330,schinese,脑洞大开,2023-04-18 15:59:59,2023-04-18 15:59:59,True,0,0,0,0,True,False,False,True,,4,False,,
76561198123581417,82,5,1018,41,977,2023-04-23 21:58:05,无游戏,无游戏,136840962,tchinese,Baba is You;Flag is Win;Game is Difficult;Me is dumb,2023-04-17 11:51:53,2023-04-17 11:51:53,True,1,0,0.52173912525177002,0,True,False,False,True,,52,False,,
76561198340593910,91,16,4404,0,4404,2022-12-11 15:59:20,无游戏,无游戏,136792560,schinese,BABA IS HOT;BRAIN IS MELT;孩子最喜欢的编程软件。,2023-04-16 17:15:18,2023-04-16 17:15:18,True,2,1,0.549444139003753662,0,True,False,False,True,,37,False,,
76561199026533444,27,4,3299,777,1907,2023-05-03 09:45:18,无游戏,无游戏,136688823,schinese,好难，但好爽。尤其是在解开谜题的那一瞬间，有一种10年便秘得到释放的快感,2023-04-15 00:08:05,2023-04-15 00:08:05,True,0,0,0,0,True,False,False,True,,36,False,,
76561198870256487,97,3,4755,0,4755,2023-04-14 22:44:59,无游戏,无游戏,136684248,tchinese,steam上第一個遊戲全成就....;;主地圖：約3關看提示;隱藏關卡：約8關看提示，4關看解答;;230關  / 12個主題  / 3個隱藏球;真的太難...,2023-04-14 22:41:34,2023-04-14 22:45:28,True,0,0,0,0,False,False,False,True,,80,True,,
76561198102359351,217,11,1156,0,1133,2023-04-11 16:20:01,无游戏,无游戏,136512885,schinese,天才之作，一般的解密游戏考验你对规则的熟练度，而这个游戏是考验你对规则的想象力和理解力。有的关卡设计的真的让人拍案叫绝。唯一有待商榷的地方是，有时候新出现一个规则，你无法知道它和老规则的优先级，需要尝试才能了解，会花费很多时间，当然这是优点还是缺点见仁见智。,2023-04-11 16:12:58,2023-04-11 16:12:58,True,0,0,0,0,True,False,False,True,,129,False,,
