word,count
刷钱,1
恶心,9
体验,42
主题,28
深度,18
校园,95
无论,3
国内外,1
讨论,11
影响,17
很大,10
想起,4
初中,2
同学,8
同班,1
人霸凌,2
明白,4
无助,1
滋味,1
对于,35
复仇,17
尤其,22
不到,3
保护,12
之下,3
无脑,6
复读,2
说实话,6
动机,8
理由,8
苍白无力,1
明明,11
更好,8
处理,11
方式,17
心路历程,1
瑕不掩瑜,6
属于,7
TOP,1
出走,1
续作,20
渺茫,2
毕竟,21
凑个,1
三部曲,1
也好,6
继续,13
哈哈,3
横山,6
si,3
tm,3
那烂活,1
真服了,1
ps4,1
两次,4
ps5,4
一次,16
之逝,58
pc,6
全面,7
升级,13
比之眼,1
薄弱,1
全篇,2
仍然,10
围绕,8
霸凌为,3
引线,1
逐步,3
推向,1
高潮,6
执着,3
sawa,1
程度,13
不亚于,1
久保,2
然而,17
丰富,46
可玩性,13
剧是,1
本体,11
不为过,2
填补,2
夜店,1
孱弱,1
大幅度,3
提升,19
两个,18
流派,5
渗透,1
评价,16
概念,1
更具,3
流畅性,1
街头,3
明雷,1
烦躁,2
而且,37
界面,2
挑战,6
相当于,9
斗技场,1
成熟,5
可惜,20
演员,2
负面影响,1
本人,5
不会,39
参演,2
到此为止,2
打造,3
框架,4
体系,2
用于,2
全新,2
说不定,3
h3,4
通關,2
資料,1
總時數,1
50,4
hrs,1
不含,1
DLC,24
難度,2
Hard,1
簡評,1
戰鬥系,1
統流,1
暢度,1
超多,1
刻劃,1
引人,3
入勝,3
相比,38
豐富,4
strike,10
用堂島,1
之龍,6
流氓,4
火爆,1
浪子,1
風格,7
不快,1
BOSS,5
QTE,11
他媽,2
垃圾,6
跑酷,2
隱匿,2
潛入,2
系統,3
加強,1
從人龍,2
開始,4
邁入,1
相較,1
歷代,3
這代戰,1
鬥系統,1
目前,11
推薦,8
的點,1
打架,11
再也,2
不卡手,1
不會,2
感受,13
敵人,1
防禦,1
石頭,1
煩悶,1
兩個,5
戰鬥,9
運用,1
各風格,1
combo,1
人龍,8
一場,1
分鐘,2
解決,2
事情,16
拖到,1
打半小時,1
戰鬥系統,1
暢快,2
不少,32
詬病,1
必須,4
極短且,1
不合理,3
時間,3
依序,1
按下,1
按鈕,2
按鍵裡,1
包含,3
類比搖桿,1
方向,4
部分,30
常常,3
因為類,1
比搖桿,1
過於靈敏,1
導致,3
失敗,3
緊急,1
時刻,1
所有,18
按紐,1
媽會,1
這麼,1
精準,1
搖下,1
香菇,1
一旦,7
基本上,6
直死,1
半殘,1
過劇情,1
才能,11
繼續,2
看戲,1
深入,4
往往,2
因為,9
整個,6
出戲,2
ALT,1
F4,2
偵探,5
要素,8
其實少,1
拍照,2
開鎖,1
上述,1
只有,11
出現,5
女角,2
攻略,6
降低,2
成分,2
多出,5
學校,4
社團,8
經營,1
相對,1
其中,11
拳擊,1
支線裡,1
主劇,2
情細節,1
暴雷,2
說句,1
實話,1
同情,4
加害人,3
一方,4
表現,2
那麼,1
或律師,1
感覺,7
反而,12
有種,1
良師且,1
怎麼,2
什麼,6
xd,1
結尾,1
凶手,9
倒底,1
沈思,1
虽然,65
略有,2
瑕疵,2
剧本,21
带给,4
引人入胜,2
日剧,18
某些,5
方面,55
更加,32
优于,1
流程,11
动作,27
模组,2
进步,12
每次,5
流畅,10
打击,13
没得说,2
打虎,1
获取,6
绑定,4
中后期,6
解锁,9
没能,2
几下,1
通关,24
其实,30
个人,39
略显,1
逊色,1
几章,4
起伏,1
草率,1
牵强,3
还要,13
出乎预料,1
总体,23
来说,47
天佑,2
客串,2
登场,5
差点,3
TAT,1
真不错,1
玩起来,4
画面,13
手柄,1
关于,11
暴力,13
互动,5
妹子,4
谈恋爱,4
推荐,19
今天,5
刚通,1
拿到,5
成就,13
一看,1
玩家,62
49.1%,1
经常,8
steam,6
rpg,6
跳舞,6
人物,21
颜值,2
最高,2
窗口,1
默认,2
全极,1
120,1
40,1
上作,7
堪称,3
十足,6
叙事,9
节奏,16
地方,25
太慢,2
反转,6
好几处,1
强行,11
毫无意义,1
情节,16
设上,1
崩掉,1
不如,19
巨大,5
达到,2
顶峰,1
回不去,1
继续下去,1
真是,7
以前,6
欧美,6
