steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated
76561199215604495,37,21,501,501,501,2023-05-02 06:06:09,137679662,schinese,蛮好玩的,2023-05-02 22:18:42,2023-05-02 22:18:42,True,0,0,0.47999998927116394,0,True,False,False,True,,4,False
76561198282802703,23,4,2514,2514,2514,2023-05-02 18:32:59,137679621,schinese,我只能说，没玩过的游戏人是不完整的,2023-05-02 22:17:57,2023-05-02 22:17:57,True,0,0,0,0,True,False,False,True,,17,False
76561199351314528,27,1,22626,964,22626,2023-05-02 22:12:20,137679510,schinese,不好玩，在查理怀里睡了377小时。,2023-05-02 22:15:08,2023-05-02 22:15:08,True,0,0,0,0,True,False,False,True,,17,False
76561199444762951,26,1,220,220,181,2023-05-02 22:57:13,137679440,schinese,hao,2023-05-02 22:13:38,2023-05-02 22:13:38,True,0,0,0,0,True,False,False,True,,3,False
76561198866408237,56,13,244,244,244,2023-05-02 22:08:36,137679403,schinese,火女玩家玩薇洛玩得很开心，谢谢小熊,2023-05-02 22:12:50,2023-05-02 22:12:50,True,0,0,0,0,True,False,False,True,,17,False
76561199257661229,9,1,294,294,284,2023-05-03 00:35:13,137679300,schinese,nnd一进房间就闪退说mod禁用服了,2023-05-02 22:10:22,2023-05-02 22:10:22,True,0,0,0,0,True,False,False,True,,18,False
76561199003649054,25,1,399,209,399,2023-05-01 17:51:43,137679095,schinese,泰裤辣,2023-05-02 22:06:15,2023-05-02 22:06:15,True,0,0,0,0,True,False,False,True,,3,False
76561199078342913,41,4,213,213,213,2023-05-02 21:54:58,137679007,schinese,GOOD,2023-05-02 22:05:04,2023-05-02 22:05:04,True,0,0,0,0,True,False,False,True,,4,False
76561198410474687,38,4,4081,1424,4081,2023-05-02 21:56:55,137678787,schinese,太好玩辣，我要狠狠的种田,2023-05-02 22:02:09,2023-05-02 22:02:09,True,0,0,0,0,True,False,False,True,,12,False
76561198138666973,35,7,1439,1276,1246,2023-05-03 01:25:20,137678513,schinese,联机版现在有海滩和哈姆雷特吗？,2023-05-02 21:57:25,2023-05-02 21:57:25,True,0,0,0,0,True,False,False,True,,15,False
76561199092786948,8,3,606,606,460,2023-05-03 00:22:03,137678369,schinese,好游戏，可惜我不会码字写大长条评论，总之是好游戏,2023-05-02 21:55:28,2023-05-02 21:55:28,True,0,0,0,0,True,False,False,True,,24,False
76561198829070667,7,1,1305,1305,1093,2023-05-03 01:31:50,137678363,schinese,风格简单有趣好玩，适合女生以及和伴侣玩,2023-05-02 21:55:21,2023-05-02 21:55:21,True,0,0,0,0,True,False,False,True,,19,False
76561199220228142,3,1,20243,173,20243,2023-05-02 21:50:08,137678048,schinese,自由度高,2023-05-02 21:51:06,2023-05-02 21:51:06,True,0,0,0,0,False,False,False,True,,4,False
76561199183391719,22,5,275,275,275,2023-05-02 17:18:09,137677778,schinese,好好好,2023-05-02 21:47:19,2023-05-02 21:47:19,True,0,0,0,0,True,False,False,True,,3,False
76561199184396826,35,2,18345,515,18272,2023-05-02 23:37:45,137677729,schinese,神作,联机体验更佳,2023-05-02 21:46:40,2023-05-02 21:46:40,True,0,0,0,0,False,False,False,True,,9,False
76561199379383705,29,4,240,240,198,2023-05-02 22:28:58,137677707,schinese,好玩的丫;,2023-05-02 21:46:25,2023-05-02 21:46:25,True,0,0,0,0,False,False,False,True,,5,False
76561198999507367,15,1,1469,601,1469,2023-05-02 21:40:31,137677470,schinese,好玩,2023-05-02 21:42:50,2023-05-02 21:42:50,True,0,0,0,0,False,False,False,True,,2,False
