steamid,num_games_owned,num_reviews,playtime_forever(min),playtime_last_two_weeks(min),playtime_at_review(min),last_played,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location,review_length,review_updated,timestamp_dev_responded, developer_response
76561199359729343,2,1,712,0,688,2023-04-04 11:39:19,136069583,schinese,好玩,2023-04-04 11:15:32,2023-04-04 11:15:32,True,0,0,0,0,True,False,False,True,,2,False,,
76561199211466802,15,1,1303,0,1267,2023-04-04 14:41:30,136046150,tchinese,我很開心 能夠在有生之年玩到這種遊戲 此生無愧,2023-04-04 05:08:04,2023-04-04 05:08:04,True,0,0,0,0,True,False,False,True,,23,False,,
76561198125427329,164,2,4222,64,1926,2023-04-22 10:32:45,136016653,tchinese,這款遊戲毀了我;;10/10,2023-04-03 18:42:42,2023-04-03 18:42:42,True,0,1,0,0,True,False,False,True,,14,False,,
76561198800975077,207,10,1110,0,1110,2023-04-02 23:50:32,135968004,tchinese,讚的啦;,2023-04-02 23:52:39,2023-04-02 23:52:39,True,0,0,0,0,True,False,False,True,,4,False,,
76561198825212714,33,2,1801,0,1801,2023-04-02 14:50:47,135963280,schinese,"我的思念将追随你进入梦乡",2023-04-02 22:41:52,2023-04-02 22:41:52,True,0,0,0,0,True,False,False,True,,14,False,,
76561198844516816,93,2,949,0,949,2023-04-02 22:25:43,135962331,schinese,应该是近几年给我触动最深的剧情了,2023-04-02 22:27:34,2023-04-02 22:27:34,True,0,0,0,0,True,False,False,True,,16,False,,
76561198350417784,115,14,1854,0,1378,2023-04-05 02:18:20,135940456,schinese,[h1] 一个纸巾盒，用来拭去你的悲伤 [/h1],2023-04-02 16:29:38,2023-04-02 16:30:21,True,34,2,0.79448854923248291,0,True,False,False,True,,25,True,,
76561199177350248,21,4,1407,0,1407,2023-04-02 00:04:11,135889426,schinese,Everything is going to be okay,2023-04-02 00:15:06,2023-04-02 00:15:06,True,1,0,0,0,True,False,False,True,,30,False,,
76561198996549819,145,42,3600,0,3600,2022-07-20 00:10:59,135884614,schinese,sunny以后也能感受到happy了吧;游戏是前期渲染氛围，在结局之前一股脑把所有谜题解开的类型。我在打的时候实在太好奇了所以跑去搜了剧透，结果只是看见he的cg动画就直接哭了出来，omori就是这样触动人心,2023-04-01 23:07:00,2023-04-01 23:07:00,True,0,0,0,0,True,False,False,True,,104,False,,
76561198972662640,8,1,3868,20,2107,2023-04-19 10:26:03,135864306,tchinese,這遊戲毀了我,2023-04-01 17:03:03,2023-04-01 17:03:03,True,0,1,0,0,True,False,False,True,,6,False,,
76561198130065039,174,1,1822,29,1792,2023-04-19 10:47:14,135854907,schinese,玩的过程中哭哭很多次 建议心思比较细腻有耐心的人直接入手 因为游戏的过程确实有些长 并且很多小细节如果没有足够耐心和精力去探索就只能体会到游戏一半的设计巧思和快乐 打斗环节还是蛮有意思的也比较好上手 但是确实到后面等级上去了以后就会懒得刷一些小怪 可小怪又会来贴你 建议直接逃跑就好了一般情况下 我当时第一天玩的时候打了两个小时左右但其实第一天并没有非常被吸引到第二天一醒来就想接着玩的程度 是后面有一天闲着没事又打开玩的时候就开始get到这个游戏好评率如此之高的原因了 然后开始猛打到通关 玩到最后还是很有感触的 大部分角色即使是配角也塑造的十分鲜明有趣 印象非常深刻 汉化做的也很不错 一些谐音梗也能正确翻译 过程中也是真的能体会到被治愈的感觉 总体还是一款很温暖很不错的游戏！！非常推荐大家玩玩看！！,2023-04-01 13:29:24,2023-04-01 13:29:24,True,2,0,0.523809552192687988,0,True,False,False,True,,353,False,,
76561198377430467,230,8,2049,0,1989,2023-04-18 17:24:19,135818588,schinese,太值了，买来了大概多年后都忘不了的回（阴）忆（影）;你能想象吗，少女躺在白花之中，圣洁的场景，下一秒她就会变成畸形的怪物袭击你;还有致敬梦日记，意味很深的场景，多照几个猩红的镜子就能看到姐姐核善的化身;晚上刷牙的时候照镜子都仿佛能看到身后的眼睛啊（笑）;;岂可修，“我的思念将追随你进入梦乡”，不要以这种形态入侵我的梦乡啊（哭）;强力推荐，这样的苦涩不能只有我一个人承受哈哈,2023-04-01 02:23:20,2023-04-01 02:38:21,True,0,0,0,0,True,False,False,True,,187,True,,
76561199385770795,22,1,1035,0,542,2023-04-08 00:41:28,135736131,schinese,情节很有趣 不是很恐怖 omori很可爱,2023-03-30 20:37:55,2023-03-30 20:37:55,True,1,1,0,0,True,False,False,True,,20,False,,
76561199467724461,14,6,2878,761,2675,2023-05-03 09:35:23,135735752,schinese,画风音乐绝了 剧情打完三个结局后可能要仔细体会,2023-03-30 20:29:45,2023-04-29 16:30:45,True,0,0,0,0,True,False,False,True,,23,True,,
76561199031925515,24,1,7802,0,7786,2023-04-02 00:27:24,135718363,schinese,我的思念将追随你进入梦乡。,2023-03-30 11:48:00,2023-03-30 11:48:00,True,1,0,0,0,True,False,False,True,,13,False,,
76561198846723809,113,17,1899,0,1899,2023-01-02 17:16:07,135709749,schinese,无法忘却，将铭记一生。,2023-03-30 08:00:52,2023-03-30 08:00:52,True,0,0,0,0,True,False,False,True,,11,False,,
76561199148563401,24,1,2581,8,2573,2023-04-20 02:55:49,135704303,schinese,非常好游戏，感动，大耳朵小男孩的梦中世界，在梦里探索和可爱的小伙伴一起，和姐姐hshbjasbcukawkaJsjo2#$#WdgYTYT^hbJH&*&Y^%$%^%&^&IUHJBMBEEDsthjhjhfdfghjazxecdwelcometoblackspace,2023-03-30 05:49:06,2023-03-30 05:49:06,True,0,0,0,0,True,False,False,True,,138,False,,
